episode,timestep,reward
17,800,45.9393
31,1600,41.5788
45,2400,51.2029
58,3200,48.4072
73,4000,45.6139
90,4800,43.9307
105,5600,44.9429
122,6400,44.1582
138,7200,51.0188
151,8000,47.0388
163,8800,48.9641
177,9600,44.6456
191,10400,38.1134
206,11200,45.955
222,12000,54.6062
235,12800,46.6563
251,13600,38.9161
263,14400,44.7621
277,15200,46.8363
290,16000,45.1164
304,16800,46.219
318,17600,43.504
332,18400,44.4246
346,19200,43.8879
360,20000,41.8477
375,20800,48.9663
388,21600,44.0126
400,22400,41.1187
417,23200,44.5366
430,24000,48.2379
444,24800,49.0974
455,25600,47.6002
472,26400,44.0735
488,27200,40.1686
502,28000,46.9643
516,28800,45.1435
528,29600,42.2038
542,30400,42.5055
553,31200,50.4705
570,32000,48.5174
586,32800,42.376
599,33600,42.4481
611,34400,39.9321
628,35200,45.6235
640,36000,42.5266
654,36800,41.0504
667,37600,52.4425
680,38400,44.2259
695,39200,50.1152
711,40000,47.7466
724,40800,42.7647
737,41600,49.3149
751,42400,43.7751
763,43200,42.3732
774,44000,44.0946
787,44800,49.0817
800,45600,41.5707
813,46400,45.7277
828,47200,41.5432
841,48000,43.8004
853,48800,42.7945
867,49600,45.1538
879,50400,45.2988
890,51200,43.1663
907,52000,43.7636
923,52800,44.6123
936,53600,50.3536
948,54400,46.6527
962,55200,44.4877
978,56000,51.1037
991,56800,46.5155
1000,57600,54.1576
1015,58400,43.1589
1026,59200,40.6753
1037,60000,41.4148
1048,60800,48.2387
1061,61600,50.9579
1075,62400,43.0594
1089,63200,46.0448
1106,64000,43.7322
1117,64800,43.8749
1131,65600,49.1448
1146,66400,50.2439
1160,67200,48.2705
1171,68000,45.6519
1183,68800,44.2227
1194,69600,41.2407
1206,70400,51.3929
1221,71200,42.7397
1235,72000,43.6995
1247,72800,46.7944
1259,73600,47.6127
1272,74400,44.4855
1285,75200,49.7004
1298,76000,47.5813
1312,76800,44.6129
1326,77600,47.9397
1338,78400,49.0586
1350,79200,38.8341
1361,80000,46.6985
1376,80800,50.025
1391,81600,45.6226
1401,82400,39.9763
1415,83200,45.5641
1429,84000,43.0669
1443,84800,41.248
1459,85600,43.4392
1473,86400,40.3617
1486,87200,45.8805
1499,88000,44.4636
1513,88800,45.2822
1525,89600,48.4149
1535,90400,52.8965
1549,91200,46.5716
1560,92000,42.6347
1572,92800,47.4839
1586,93600,56.5115
1595,94400,43.1977
1605,95200,42.7205
1618,96000,46.1509
1630,96800,43.2967
1645,97600,43.3058
1660,98400,42.4961
1669,99200,38.5866
1686,100000,49.0406
